Year,Category,Group,Count
2011,Age at Year End,0-11,169
2011,Age at Year End,12-14,87
2011,Age at Year End,15-17,180
2011,Age at Year End,18-19,315
2011,Age at Year End,20-24,2971
2011,Age at Year End,25-29,6476
2011,Age at Year End,30-34,9144
2011,Age at Year End,35-39,11188
2011,Age at Year End,40-44,18025
2011,Age at Year End,45-49,23610
2011,Age at Year End,50-54,19850
2011,Age at Year End,55-59,13160
2011,Age at Year End,60-64,7588
2011,Age at Year End,65-74,4892
2011,Age at Year End,>= 75,832
2011,Current Gender,Cisgender men,102868
2011,Current Gender,Cisgender women,14064
2011,Current Gender,Transgender women,1515
2011,Current Gender,Transgender men,35
2011,Current Gender,Alternative Gender,5
2011,Race/Ethnicity,American Indian/Alaska Native,359
2011,Race/Ethnicity,Asian*,3670
2011,Race/Ethnicity,Black/African American,20726
2011,Race/Ethnicity,Latinx*,38702
2011,Race/Ethnicity,Native Hawaiian/Pacific Islander,206
2011,Race/Ethnicity,White,51099
2011,Race/Ethnicity,Multiple races,3721
2011,Race/Ethnicity,Unknown race,4
2011,Transmission Category: Male Adult or Adolescent,Male-to-male sexual contact (MMSC),79109
2011,Transmission Category: Male Adult or Adolescent,Injection drug use (IDU),5415
2011,Transmission Category: Male Adult or Adolescent,MMSC and IDU,10028
2011,Transmission Category: Male Adult or Adolescent,High-risk heterosexual contact (HRH)**,3317
2011,Transmission Category: Male Adult or Adolescent,Heterosexual contact (Non-HRH)***,2979
2011,Transmission Category: Male Adult or Adolescent,Perinatal,257
2011,Transmission Category: Male Adult or Adolescent,Unknown risk,2914
2011,Transmission Category: Male Adult or Adolescent,Other****,289
2011,Transmission Category: Female Adult or Adolescent,Injection drug use (IDU),3030
2011,Transmission Category: Female Adult or Adolescent,High-risk heterosexual contact (HRH)**,7470
2011,Transmission Category: Female Adult or Adolescent,Heterosexual contact (Non-HRH)***,2359
2011,Transmission Category: Female Adult or Adolescent,Perinatal,294
2011,Transmission Category: Female Adult or Adolescent,Unknown risk,703
2011,Transmission Category: Female Adult or Adolescent,Other****,154
2011,Transmission Category: Child (<12 Years Old at the End of Year),Perinatal,150
2011,Transmission Category: Child (<12 Years Old at the End of Year),Unknown risk,18
2011,Transmission Category: Child (<12 Years Old at the End of Year),Other****,1
2012,Age at Year End,0-11,154
2012,Age at Year End,12-14,79
2012,Age at Year End,15-17,159
2012,Age at Year End,18-19,307
2012,Age at Year End,20-24,3025
2012,Age at Year End,25-29,6792
2012,Age at Year End,30-34,9348
2012,Age at Year End,35-39,10996
2012,Age at Year End,40-44,16978
2012,Age at Year End,45-49,23025
2012,Age at Year End,50-54,21266
2012,Age at Year End,55-59,14362
2012,Age at Year End,60-64,8422
2012,Age at Year End,65-74,5698
2012,Age at Year End,>= 75,976
2012,Current Gender,Cisgender men,105646
2012,Current Gender,Cisgender women,14328
2012,Current Gender,Transgender women,1571
2012,Current Gender,Transgender men,37
2012,Current Gender,Alternative Gender,5
2012,Race/Ethnicity,American Indian/Alaska Native,362
2012,Race/Ethnicity,Asian*,3953
2012,Race/Ethnicity,Black/African American,21221
2012,Race/Ethnicity,Latinx*,40379
2012,Race/Ethnicity,Native Hawaiian/Pacific Islander,220
2012,Race/Ethnicity,White,51645
2012,Race/Ethnicity,Multiple races,3803
2012,Race/Ethnicity,Unknown race,4
2012,Transmission Category: Male Adult or Adolescent,Male-to-male sexual contact (MMSC),81625
2012,Transmission Category: Male Adult or Adolescent,Injection drug use (IDU),5369
2012,Transmission Category: Male Adult or Adolescent,MMSC and IDU,9923
2012,Transmission Category: Male Adult or Adolescent,High-risk heterosexual contact (HRH)**,3366
2012,Transmission Category: Male Adult or Adolescent,Heterosexual contact (Non-HRH)***,3177
2012,Transmission Category: Male Adult or Adolescent,Perinatal,265
2012,Transmission Category: Male Adult or Adolescent,Unknown risk,3145
2012,Transmission Category: Male Adult or Adolescent,Other****,278
2012,Transmission Category: Female Adult or Adolescent,Injection drug use (IDU),2983
2012,Transmission Category: Female Adult or Adolescent,High-risk heterosexual contact (HRH)**,7600
